Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/12/20,AirNow,10730023,3,6.6,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/13/20,AirNow,10730023,3,8.7,ug/m3 LC,36,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/14/20,AirNow,10730023,3,4.9,ug/m3 LC,20,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/15/20,AirNow,10730023,3,6,ug/m3 LC,25,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/16/20,AirNow,10730023,3,6.3,ug/m3 LC,26,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/17/20,AirNow,10730023,3,4.6,ug/m3 LC,19,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/18/20,AirNow,10730023,3,7.3,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/19/20,AirNow,10730023,3,3,ug/m3 LC,13,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/20/20,AirNow,10730023,3,9.3,ug/m3 LC,39,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/24/20,AirNow,10730023,3,5.5,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/25/20,AirNow,10730023,3,5.5,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/26/20,AirNow,10730023,3,13.4,ug/m3 LC,54,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/27/20,AirNow,10730023,3,7.5,ug/m3 LC,31,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/28/20,AirNow,10730023,3,17.6,ug/m3 LC,63,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/29/20,AirNow,10730023,3,7.7,ug/m3 LC,32,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/30/20,AirNow,10730023,3,13.4,ug/m3 LC,54,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/31/20,AirNow,10730023,3,11.6,ug/m3 LC,48,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/1/20,AirNow,10730023,3,11.1,ug/m3 LC,46,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/2/20,AirNow,10730023,3,6.6,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/3/20,AirNow,10730023,3,7,ug/m3 LC,29,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/4/20,AirNow,10730023,3,4.9,ug/m3 LC,20,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/5/20,AirNow,10730023,3,8.1,ug/m3 LC,34,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/6/20,AirNow,10730023,3,2.7,ug/m3 LC,11,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/7/20,AirNow,10730023,3,4.4,ug/m3 LC,18,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/8/20,AirNow,10730023,3,6.7,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/9/20,AirNow,10730023,3,9.2,ug/m3 LC,38,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/10/20,AirNow,10730023,3,5.6,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/11/20,AirNow,10730023,3,4.1,ug/m3 LC,17,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/12/20,AirNow,10730023,3,8,ug/m3 LC,33,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/13/20,AirNow,10730023,3,3.1,ug/m3 LC,13,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/14/20,AirNow,10730023,3,7,ug/m3 LC,29,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/15/20,AirNow,10730023,3,8.1,ug/m3 LC,34,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/16/20,AirNow,10730023,3,14.7,ug/m3 LC,56,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/17/20,AirNow,10730023,3,9,ug/m3 LC,38,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/18/20,AirNow,10730023,3,4.7,ug/m3 LC,20,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/19/20,AirNow,10730023,3,8.4,ug/m3 LC,35,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/20/20,AirNow,10730023,3,6.1,ug/m3 LC,25,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/21/20,AirNow,10730023,3,9.9,ug/m3 LC,41,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/22/20,AirNow,10730023,3,10.7,ug/m3 LC,45,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/23/20,AirNow,10730023,3,17.7,ug/m3 LC,63,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/24/20,AirNow,10730023,3,12.2,ug/m3 LC,51,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/25/20,AirNow,10730023,3,5.3,ug/m3 LC,22,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/26/20,AirNow,10730023,3,5.5,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/27/20,AirNow,10730023,3,4.8,ug/m3 LC,20,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/28/20,AirNow,10730023,3,6.7,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
2/29/20,AirNow,10730023,3,6.7,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/1/20,AirNow,10730023,3,16.6,ug/m3 LC,60,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/2/20,AirNow,10730023,3,7.8,ug/m3 LC,33,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/3/20,AirNow,10730023,3,11.1,ug/m3 LC,46,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/4/20,AirNow,10730023,3,9.7,ug/m3 LC,40,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/5/20,AirNow,10730023,3,4.3,ug/m3 LC,18,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/6/20,AirNow,10730023,3,4.3,ug/m3 LC,18,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/7/20,AirNow,10730023,3,7.6,ug/m3 LC,32,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/8/20,AirNow,10730023,3,10.9,ug/m3 LC,45,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/9/20,AirNow,10730023,3,11.3,ug/m3 LC,47,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/10/20,AirNow,10730023,3,6.4,ug/m3 LC,27,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/11/20,AirNow,10730023,3,8.2,ug/m3 LC,34,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/12/20,AirNow,10730023,3,8.9,ug/m3 LC,37,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/13/20,AirNow,10730023,3,8.8,ug/m3 LC,37,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/14/20,AirNow,10730023,3,10.3,ug/m3 LC,43,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/15/20,AirNow,10730023,3,5.1,ug/m3 LC,21,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/16/20,AirNow,10730023,3,10.5,ug/m3 LC,44,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/17/20,AirNow,10730023,3,23.5,ug/m3 LC,75,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/18/20,AirNow,10730023,3,16.7,ug/m3 LC,61,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/20/20,AirNow,10730023,3,8.4,ug/m3 LC,35,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/21/20,AirNow,10730023,3,6.8,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/22/20,AirNow,10730023,3,7.3,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/23/20,AirNow,10730023,3,7.2,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/24/20,AirNow,10730023,3,10.4,ug/m3 LC,43,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/25/20,AirNow,10730023,3,7.6,ug/m3 LC,32,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/26/20,AirNow,10730023,3,11.5,ug/m3 LC,48,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/27/20,AirNow,10730023,3,17.4,ug/m3 LC,62,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/28/20,AirNow,10730023,3,14.5,ug/m3 LC,56,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/29/20,AirNow,10730023,3,7.9,ug/m3 LC,33,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/30/20,AirNow,10730023,3,9.3,ug/m3 LC,39,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
3/31/20,AirNow,10730023,3,6.9,ug/m3 LC,29,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/1/20,AirNow,10730023,3,6,ug/m3 LC,25,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/2/20,AirNow,10730023,3,7.5,ug/m3 LC,31,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/3/20,AirNow,10730023,3,14.7,ug/m3 LC,56,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/4/20,AirNow,10730023,3,12.8,ug/m3 LC,52,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/5/20,AirNow,10730023,3,14.7,ug/m3 LC,56,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/6/20,AirNow,10730023,3,20.5,ug/m3 LC,69,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/7/20,AirNow,10730023,3,16.5,ug/m3 LC,60,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/8/20,AirNow,10730023,3,13.2,ug/m3 LC,53,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/9/20,AirNow,10730023,3,7.2,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/10/20,AirNow,10730023,3,6.8,ug/m3 LC,28,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/11/20,AirNow,10730023,3,13.2,ug/m3 LC,53,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/12/20,AirNow,10730023,3,15.9,ug/m3 LC,59,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/13/20,AirNow,10730023,3,4.8,ug/m3 LC,20,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/14/20,AirNow,10730023,3,5.9,ug/m3 LC,25,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/15/20,AirNow,10730023,3,7.9,ug/m3 LC,33,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/16/20,AirNow,10730023,3,15.9,ug/m3 LC,59,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/17/20,AirNow,10730023,3,12.8,ug/m3 LC,52,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/18/20,AirNow,10730023,3,8.1,ug/m3 LC,34,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/19/20,AirNow,10730023,3,7.3,ug/m3 LC,30,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/20/20,AirNow,10730023,3,5.4,ug/m3 LC,23,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/21/20,AirNow,10730023,3,9.3,ug/m3 LC,39,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/22/20,AirNow,10730023,3,10.5,ug/m3 LC,44,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/23/20,AirNow,10730023,3,7.8,ug/m3 LC,33,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/24/20,AirNow,10730023,3,5.7,ug/m3 LC,24,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
4/25/20,AirNow,10730023,3,5.8,ug/m3 LC,24,North Birmingham,1,100,88101,PM2.5 - Local Conditions,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.553056,-86.815
1/1/20,AirNow,10731005,3,5.7,ug/m3 LC,24,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/2/20,AirNow,10731005,3,6.7,ug/m3 LC,28,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/3/20,AirNow,10731005,3,3.1,ug/m3 LC,13,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/4/20,AirNow,10731005,3,5.3,ug/m3 LC,22,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/5/20,AirNow,10731005,3,4.7,ug/m3 LC,20,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/6/20,AirNow,10731005,3,7,ug/m3 LC,29,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/7/20,AirNow,10731005,3,5.7,ug/m3 LC,24,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/10/20,AirNow,10731005,3,9.2,ug/m3 LC,38,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/11/20,AirNow,10731005,3,6,ug/m3 LC,25,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/12/20,AirNow,10731005,3,5.6,ug/m3 LC,23,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/13/20,AirNow,10731005,3,7.5,ug/m3 LC,31,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/14/20,AirNow,10731005,3,3.7,ug/m3 LC,15,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/15/20,AirNow,10731005,3,5.1,ug/m3 LC,21,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/16/20,AirNow,10731005,3,5.4,ug/m3 LC,23,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/17/20,AirNow,10731005,3,4.5,ug/m3 LC,19,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/18/20,AirNow,10731005,3,6.7,ug/m3 LC,28,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/19/20,AirNow,10731005,3,3.6,ug/m3 LC,15,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/20/20,AirNow,10731005,3,6.9,ug/m3 LC,29,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
1/21/20,AirNow,10731005,3,7.7,ug/m3 LC,32,McAdory,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,13820,"Birmingham-Hoover, AL",1,Alabama,73,Jefferson,33.331111,-87.003611
